date,ships_anchored,brent_price,bpi,ship_cap,corn_price,gscpi,Gulf,PNW,trade_vol,ships_waiting,wheat_price,bpi_volatility,brent_price_trend,brent_price_seasonal,bpi_trend,bpi_seasonal
2022-10-03,78.0,88.902,2049.4,1659680.0,673.15,1.0290891516325156,61.0,36.0,103.928250761055,86.0,900.9,23.058064206916185,96.13225,0.6606159287986214,1973.7878205128206,147.8186875873192
2022-10-10,75.0,95.95,2202.0,1688023.0,684.8,1.0290891516325156,61.0,36.0,103.928250761055,81.0,900.45,44.48156836680879,95.69553846153845,0.09555756274025588,1948.9839743589744,198.50368758731918
2022-10-17,80.0,93.406,2120.0,1887532.0,690.875,1.0290891516325156,61.25,36.0,103.928250761055,83.0,876.355,40.84116845356108,95.34812179487177,-0.11675077925558892,1927.4884615384617,224.6728222027037
2022-10-24,73.0,91.142,2143.6,1896759.0,681.5833333333334,1.0290891516325156,63.75,37.0,103.928250761055,77.0,847.1666666666666,27.39621121996621,94.95399358974359,-0.18535005160486,1902.823717948718,211.40144399757568
2022-10-31,64.0,93.36,1873.0,1863555.0,687.1666666666666,1.14471198716245,63.25,37.0,103.928250761055,69.0,852.2716666666666,84.293553650864,94.52623397435896,-0.9997765069063163,1877.2669871794874,160.18593117706277
2022-11-07,73.0,97.176,1689.4,1827323.0,684.25,1.14471198716245,62.0,35.5,102.216587950081,77.0,855.3333333333334,23.645984157523888,93.95508493589743,-1.3642210235383307,1849.765064102564,67.89384784372952
2022-11-14,40.0,94.822,1649.0,1588238.0,660.1,1.14471198716245,58.0,34.0,102.216587950081,51.0,813.98,25.896344514388545,93.30009935897435,-1.8180982324780404,1816.9237179487181,36.92984143347304
2022-11-21,55.0,91.056,1595.4,1972864.0,665.35,1.14471198716245,57.5,34.0,102.216587950081,59.0,809.25,41.78027396116558,92.62431089743589,-1.9237078998377084,1779.0429487179488,27.677533741165348
2022-11-28,44.0,85.408,1485.8,1701879.0,665.625,1.14471198716245,58.0,33.25,102.216587950081,44.0,798.826,30.32480267652387,91.85752243589741,-2.240286165603473,1739.9852564102562,95.64545040783203
2022-12-05,47.0,85.002,1616.6,1992374.0,652.9,1.2682551579556955,57.5,32.75,101.610096436879,47.0,772.0,36.17324602831876,90.96571474358974,-2.7960009525057608,1703.6717948717949,138.83477733090893
2022-12-12,46.0,77.48400000000001,1651.0,1994606.0,632.25,1.2682551579556955,57.0,32.25,101.610096436879,46.0,738.4,10.635656556814606,89.97379166666666,-3.002766718271525,1671.3371794871794,80.2158457069772
2022-12-19,47.0,81.534,1644.0,2029219.0,647.3,1.2682551579556955,57.25,32.0,101.610096436879,46.0,743.25,10.916585181115904,89.00465705128204,-2.7320264202812283,1641.0217948717948,-1.0652226690910709
2022-12-26,26.0,80.4325,1565.3333333333333,1395206.0,660.25,1.2682551579556955,57.0,32.0,101.610096436879,26.0,764.125,32.604309145326155,88.13823397435897,-2.4984992200040272,1610.2564102564102,-20.473897882766245
2023-01-02,37.0,81.82666666666667,1438.0,1615910.0,678.875,1.3417155757748296,56.5,31.75,101.527088883955,37.0,781.5,68.68527256018254,87.2787532051282,-2.549676454931264,1580.8506410256412,-55.87030813917652
2023-01-09,43.0,77.262,1289.6,1943000.0,660.26,1.3417155757748296,56.0,31.5,101.527088883955,43.0,756.11,69.98598814471266,86.48965705128205,-2.9717086794634855,1554.227564102564,-135.400393609262
2023-01-16,37.0,81.636,1085.6,1972748.0,664.25,1.3417155757748296,54.0,30.5,101.527088883955,37.0,739.375,46.9563861104939,85.85992628205128,-2.6525579518127604,1533.1564102564103,-263.27641412208254
2023-01-23,31.0,85.548,1057.8,2041740.0,677.25,1.3417155757748296,52.25,28.25,101.527088883955,31.0,738.8333333333334,8.587121996571094,85.26565705128205,-2.1827159559707643,1514.5621794871795,-358.7427867716551
2023-01-30,22.0,85.376,1049.2,1891717.0,680.2,1.3417155757748296,51.5,28.25,101.527088883955,22.0,746.15,9.00023730968726,84.72659935897435,-1.7483313405861471,1493.6621794871796,-378.95663292550137
2023-02-06,16.0,80.986,946.2,1924377.0,678.5,1.0838564583426726,51.5,28.25,101.419143634047,16.0,757.8,39.98848151523252,84.3333108974359,-1.4565132532680605,1474.4083333333335,-365.26851326738165
2023-02-13,19.0,84.398,858.4,1875160.0,677.75,1.0838564583426726,50.0,28.25,101.419143634047,19.0,769.95,15.493952358022117,84.0282532051282,-0.20979028029508723,1459.8083333333334,-300.4542611306295
2023-02-20,24.0,83.534,822.2,1905391.0,678.0625,1.0838564583426726,48.0,27.5,101.419143634047,24.0,769.2083333333334,15.416260478208404,83.77633012820512,0.2637850835302783,1451.3448717948718,-196.45274403661242
2023-02-27,22.0,81.464,1225.8,1817215.0,661.2,1.0838564583426726,47.75,26.0,101.419143634047,22.0,734.105,138.5517071661717,83.52722916666667,0.24995902670421807,1449.0583333333336,-93.2860346349031
2023-03-06,18.0,84.52799999999999,1554.0,1731454.0,636.25,-0.2073743411322674,48.5,26.5,103.283321706152,18.0,706.45,77.31627873609922,83.31333974358975,0.35289769614288685,1451.3544871794873,8.247341433473062
2023-03-13,10.0,81.62,1658.6,1738844.0,623.1866666666666,-0.2073743411322674,52.5,29.0,103.283321706152,10.0,678.7916666666666,32.59185078917419,83.25926282051283,0.07809710709229832,1451.4160256410257,38.618281604413234
2023-03-20,5.0,73.52799999999999,1718.4,1696676.0,630.8,-0.2073743411322674,52.5,29.5,103.283321706152,5.0,701.4366666666666,35.53525987637461,83.30827243589744,-0.3210406267954343,1445.0145833333333,14.475551396079885
2023-03-27,5.0,75.12,1581.75,1809967.0,637.3,-0.2073743411322674,53.5,30.5,103.283321706152,5.0,679.05,39.4822204185552,83.41307051282051,0.2655589920541854,1437.7554487179486,9.805639537105554
2023-04-03,13.0,79.806,1616.6,1989107.0,653.1,-1.1367841587346068,52.0,29.0,101.54525516014,13.0,696.5,23.44020532200841,83.54078205128206,0.24932943557462625,1431.3881410256413,-9.256339629561134
2023-04-10,9.0,86.05,1796.0,1954364.0,649.5,-1.1367841587346068,52.0,29.0,101.54525516014,9.0,679.48,69.30762660316016,83.5461858974359,0.6959545221997129,1422.2977564102566,-23.801451809048423
2023-04-17,9.0,87.01599999999999,1757.6,2084884.0,660.4,-1.1367841587346068,55.5,30.0,101.54525516014,9.0,680.6666666666666,51.723970107780644,83.46353205128206,1.0454422214374128,1411.4516025641028,-4.103495078279055
2023-04-24,15.0,84.34,1671.4,2113358.0,665.6,-1.1367841587346068,55.75,30.0,101.54525516014,15.0,682.45,24.232762441939418,83.44908974358975,0.8139488049439975,1401.2900641025642,58.388131524285015
